Timestamp,Birthday,Birthday,Zodiac,MBTI Type
4/12/2020 20:55,11/25/2000,25-Nov,Sagittarius,INTJ
4/12/2020 22:59,11/24/2000,24-Nov,Sagittarius,INTP
4/13/2020 0:56,11/23/2000,23-Nov,Sagittarius,INFP
4/13/2020 1:02,11/22/2000,22-Nov,Sagittarius,INTJ
4/13/2020 5:54,11/22/2000,22-Nov,Sagittarius,ENFP
4/12/2020 22:42,11/19/2000,19-Nov,Scorpio,ENTP
4/13/2020 8:28,11/17/2000,17-Nov,Scorpio,INFP
4/13/2020 1:52,11/15/2000,15-Nov,Scorpio,ENFP
4/13/2020 4:31,11/15/2000,15-Nov,Scorpio,INFP
4/13/2020 6:43,11/12/2000,12-Nov,Scorpio,INFP
4/12/2020 21:14,11/11/2000,11-Nov,Scorpio,ISTJ
4/13/2020 1:19,11/10/2000,10-Nov,Scorpio,INFP
4/13/2020 5:36,11/10/2000,10-Nov,Scorpio,INFP
4/13/2020 5:22,11/9/2000,9-Nov,Scorpio,ENTP
4/13/2020 1:37,11/4/2000,4-Nov,Scorpio,ENFP
4/13/2020 8:52,11/4/2000,4-Nov,Scorpio,ENFP
4/13/2020 2:44,11/2/2000,2-Nov,Scorpio,INTJ
4/13/2020 8:58,11/2/2000,2-Nov,Scorpio,ISFJ
4/13/2020 1:30,10/31/2000,31-Oct,Scorpio,INFP
4/13/2020 7:24,10/31/2000,31-Oct,Scorpio,INTP
4/12/2020 22:29,10/30/2000,30-Oct,Scorpio,ENFJ
4/13/2020 8:20,10/26/2000,26-Oct,Scorpio,INTJ
4/13/2020 6:09,10/25/2000,25-Oct,Scorpio,ISTP
4/12/2020 20:25,10/23/2000,23-Oct,Scorpio,ISTP
4/12/2020 22:42,10/18/2000,18-Oct,Libra,ISFP
4/13/2020 9:46,10/17/2000,17-Oct,Libra,INTP
4/13/2020 6:11,10/15/2000,15-Oct,Libra,INTP
4/12/2020 19:45,10/13/2000,13-Oct,Libra,INTJ
4/12/2020 23:29,10/9/2000,9-Oct,Libra,INTJ
4/13/2020 8:19,10/9/2000,9-Oct,Libra,INFP
4/13/2020 6:27,10/6/2000,6-Oct,Libra,INFP
4/13/2020 6:24,10/5/2000,5-Oct,Libra,INTJ
4/13/2020 2:05,10/3/2000,3-Oct,Libra,ISFJ
4/13/2020 4:28,10/3/2000,3-Oct,Libra,ISTJ
4/12/2020 22:36,9/29/2000,29-Sep,Libra,ENTP
4/13/2020 9:54,9/29/2000,29-Sep,Libra,INTP
4/12/2020 22:43,9/25/2000,25-Sep,Libra,ENFJ
4/13/2020 5:14,9/24/2000,24-Sep,Libra,INFP
4/12/2020 23:55,9/23/2000,23-Sep,Libra,INTP
4/13/2020 2:17,9/23/2000,23-Sep,Libra,INFP
4/12/2020 21:19,9/21/2000,21-Sep,Virgo,INFP
4/12/2020 23:30,9/21/2000,21-Sep,Virgo,INTP
4/12/2020 23:09,9/18/2000,18-Sep,Virgo,ENTP
4/13/2020 3:00,9/15/2000,15-Sep,Virgo,INTP
4/13/2020 7:34,9/15/2000,15-Sep,Virgo,INFJ
4/12/2020 21:48,9/14/2000,14-Sep,Virgo,INTP
4/13/2020 2:30,9/14/2000,14-Sep,Virgo,INFP
4/12/2020 18:15,9/12/2000,12-Sep,Virgo,INTJ
4/13/2020 0:46,9/12/2000,12-Sep,Virgo,INFJ
4/13/2020 0:36,9/9/2000,9-Sep,Virgo,INTJ
4/13/2020 1:24,9/7/2000,7-Sep,Virgo,ISTJ
4/13/2020 6:10,9/4/2000,4-Sep,Virgo,INFP
4/13/2020 9:55,9/3/2000,3-Sep,Virgo,INFP
4/13/2020 6:35,9/2/2000,2-Sep,Virgo,INTJ
4/13/2020 9:06,9/1/2000,1-Sep,Virgo,INTP
4/13/2020 9:57,9/1/2000,1-Sep,Virgo,INFP
4/14/2020 0:51,8/29/2000,29-Aug,Virgo,INFP
4/12/2020 23:39,8/27/2000,27-Aug,Virgo,ISFJ
4/13/2020 2:39,8/26/2000,26-Aug,Virgo,ENTP
4/13/2020 0:48,8/24/2000,24-Aug,Virgo,ISFJ
4/13/2020 4:06,8/24/2000,24-Aug,Virgo,INFP
4/13/2020 0:04,8/23/2000,23-Aug,Virgo,INFP
4/13/2020 1:19,8/22/2000,22-Aug,Leo,INFJ
4/13/2020 0:01,8/21/2000,21-Aug,Leo,ENTJ
4/12/2020 17:58,8/20/2000,20-Aug,Leo,INTP
4/13/2020 4:29,8/18/2000,18-Aug,Leo,INFJ
4/13/2020 8:57,8/17/2000,17-Aug,Leo,INTP
4/13/2020 10:09,8/17/2000,17-Aug,Leo,INTP
4/13/2020 6:05,8/16/2000,16-Aug,Leo,ISTJ
4/13/2020 7:56,8/13/2000,13-Aug,Leo,INTP
4/13/2020 1:50,8/12/2000,12-Aug,Leo,INTJ
4/12/2020 23:22,8/11/2000,11-Aug,Leo,INTP
4/13/2020 1:33,8/9/2000,9-Aug,Leo,ESTJ
4/15/2020 8:07,8/9/2000,9-Aug,Leo,ISTP
4/13/2020 19:07,8/6/2000,6-Aug,Leo,INTP
4/13/2020 2:41,8/5/2000,5-Aug,Leo,INTJ
4/13/2020 10:18,8/2/2000,2-Aug,Leo,ENFP
4/12/2020 19:07,8/1/2000,1-Aug,Leo,ISTJ
4/12/2020 23:55,7/31/2000,31-Jul,Leo,INFP
4/13/2020 5:54,7/24/2000,24-Jul,Leo,ISFJ
4/12/2020 22:30,7/23/2000,23-Jul,Leo,ISFP
4/13/2020 6:06,7/23/2000,23-Jul,Leo,INFJ
4/13/2020 6:36,7/21/2000,21-Jul,Cancer,INFP
4/13/2020 3:38,7/18/2000,18-Jul,Cancer,INFJ
4/13/2020 6:43,7/18/2000,18-Jul,Cancer,INFP
4/13/2020 0:05,7/14/2000,14-Jul,Cancer,ISFJ
4/12/2020 19:26,7/12/2000,12-Jul,Cancer,INTP
4/13/2020 0:12,7/12/2000,12-Jul,Cancer,INFJ
4/13/2020 8:29,7/9/2000,9-Jul,Cancer,INFJ
4/12/2020 23:41,7/7/2000,7-Jul,Cancer,INTJ
4/12/2020 23:41,7/7/2000,7-Jul,Cancer,INTJ
4/13/2020 3:43,7/7/2000,7-Jul,Cancer,INFP
4/12/2020 22:08,7/4/2000,4-Jul,Cancer,INTP
4/13/2020 0:18,7/4/2000,4-Jul,Cancer,INFJ
4/13/2020 2:39,7/4/2000,4-Jul,Cancer,INTJ
4/13/2020 6:29,7/3/2000,3-Jul,Cancer,INFP
4/13/2020 8:10,7/2/2000,2-Jul,Cancer,INTP
4/12/2020 18:10,6/30/2000,30-Jun,Cancer,INFP
4/12/2020 18:10,6/30/2000,30-Jun,Cancer,INFP
4/12/2020 22:39,6/30/2000,30-Jun,Cancer,INTP
4/13/2020 8:27,6/30/2000,30-Jun,Cancer,ENTP
4/13/2020 3:02,6/28/2000,28-Jun,Cancer,INTJ
4/13/2020 8:53,6/28/2000,28-Jun,Cancer,INTJ
4/13/2020 6:59,6/27/2000,27-Jun,Cancer,INTJ
4/12/2020 23:00,6/26/2000,26-Jun,Cancer,ENFJ
4/13/2020 5:13,6/25/2000,25-Jun,Cancer,INTJ
4/13/2020 6:52,6/25/2000,25-Jun,Cancer,INFP
4/13/2020 1:36,6/23/2000,23-Jun,Cancer,INFJ
4/13/2020 3:59,6/23/2000,23-Jun,Cancer,INTP
4/13/2020 0:12,6/22/2000,22-Jun,Cancer,INFP
4/13/2020 3:31,6/18/2000,18-Jun,Gemini,ENTP
4/12/2020 23:40,6/16/2000,16-Jun,Gemini,INFP
4/13/2020 0:54,6/5/2000,5-Jun,Gemini,INFJ
4/12/2020 19:32,6/4/2000,4-Jun,Gemini,INTP
4/13/2020 6:56,6/2/2000,2-Jun,Gemini,INFJ
4/12/2020 23:30,5/31/2000,31-May,Gemini,INTP
4/12/2020 23:31,5/31/2000,31-May,Gemini,INFP
4/13/2020 10:08,5/31/2000,31-May,Gemini,INTP
4/13/2020 10:12,5/31/2000,31-May,Gemini,ISTP
4/12/2020 22:38,5/30/2000,30-May,Gemini,INFP
4/13/2020 8:35,5/28/2000,28-May,Gemini,INTJ
4/12/2020 23:25,5/25/2000,25-May,Gemini,INTP
4/12/2020 23:25,5/25/2000,25-May,Gemini,INFP
4/13/2020 8:11,5/24/2000,24-May,Gemini,ENTJ
4/12/2020 23:39,5/20/2000,20-May,Taurus,INFP
4/13/2020 0:46,5/20/2000,20-May,Taurus,INFP
4/13/2020 19:11,5/18/2000,18-May,Taurus,INFP
4/13/2020 16:01,5/15/2000,15-May,Taurus,ISTP
4/13/2020 4:49,5/13/2000,13-May,Taurus,INTJ
4/12/2020 23:10,5/12/2000,12-May,Taurus,ISTP
4/13/2020 2:52,5/12/2000,12-May,Taurus,INTJ
4/12/2020 21:39,5/11/2000,11-May,Taurus,INTJ
4/13/2020 0:21,5/9/2000,9-May,Taurus,ISTP
4/13/2020 8:18,5/8/2000,8-May,Taurus,INTJ
4/12/2020 21:38,5/7/2000,7-May,Taurus,INFP
4/12/2020 22:46,5/7/2000,7-May,Taurus,INTP
4/13/2020 8:19,5/7/2000,7-May,Taurus,INFP
4/12/2020 22:37,5/6/2000,6-May,Taurus,INFJ
4/13/2020 11:44,5/6/2000,6-May,Taurus,ENTP
4/13/2020 7:59,5/5/2000,5-May,Taurus,ISTP
4/13/2020 8:43,5/5/2000,5-May,Taurus,INFP
4/13/2020 2:18,5/3/2000,3-May,Taurus,INTJ
4/13/2020 1:32,5/2/2000,2-May,Taurus,INFP
4/13/2020 1:32,4/29/2000,29-Apr,Taurus,INFP
4/13/2020 8:53,4/29/2000,29-Apr,Taurus,INTJ
4/13/2020 4:34,4/26/2000,26-Apr,Taurus,ENTP
4/13/2020 0:56,4/25/2000,25-Apr,Taurus,ISTJ
4/12/2020 20:14,4/24/2000,24-Apr,Taurus,INFJ
4/12/2020 21:43,4/23/2000,23-Apr,Taurus,INFJ
4/13/2020 7:15,4/22/2000,22-Apr,Taurus,INTJ
4/13/2020 7:22,4/21/2000,21-Apr,Taurus,INTJ
4/13/2020 0:59,4/20/2000,20-Apr,Taurus,ESTP
4/12/2020 20:53,4/18/2000,18-Apr,Aries,ISTJ
4/13/2020 10:54,4/18/2000,18-Apr,Aries,INFP
4/13/2020 4:56,4/17/2000,17-Apr,Aries,INTP
4/12/2020 20:14,4/13/2000,13-Apr,Aries,INFJ
4/13/2020 4:59,4/10/2000,10-Apr,Aries,INFP
4/12/2020 19:23,4/9/2000,9-Apr,Aries,ESTP
4/12/2020 22:57,4/8/2000,8-Apr,Aries,INTJ
4/12/2020 23:32,4/6/2000,6-Apr,Aries,INTJ
4/13/2020 0:29,4/6/2000,6-Apr,Aries,INFP
4/12/2020 21:45,4/5/2000,5-Apr,Aries,ISTP
4/13/2020 9:06,4/4/2000,4-Apr,Aries,INFP
4/13/2020 13:10,4/3/2000,3-Apr,Aries,ENTJ
4/12/2020 19:18,3/24/2000,24-Mar,Aries,INFP
4/13/2020 5:08,3/23/2000,23-Mar,Aries,ENFP
4/13/2020 2:54,3/22/2000,22-Mar,Aries,ENFP
4/13/2020 1:16,3/20/2000,20-Mar,Pisces,ISFP
4/12/2020 19:37,3/17/2000,17-Mar,Pisces,INTJ
4/13/2020 3:52,3/15/2000,15-Mar,Pisces,INFP
4/13/2020 4:15,3/13/2000,13-Mar,Pisces,ISTJ
4/12/2020 17:45,3/8/2000,8-Mar,Pisces,ISTJ
4/13/2020 1:20,3/8/2000,8-Mar,Pisces,INFP
4/13/2020 8:29,3/5/2000,5-Mar,Pisces,INTJ
4/13/2020 0:27,3/1/2000,1-Mar,Pisces,INTJ
4/13/2020 0:27,3/1/2000,1-Mar,Pisces,INTJ
4/13/2020 6:18,2/27/2000,27-Feb,Pisces,ENTP
4/12/2020 21:29,2/25/2000,25-Feb,Pisces,INTP
4/13/2020 8:27,2/25/2000,25-Feb,Pisces,INTJ
4/13/2020 8:47,2/25/2000,25-Feb,Pisces,INFJ
4/13/2020 0:00,2/24/2000,24-Feb,Pisces,INTP
4/13/2020 0:36,2/23/2000,23-Feb,Pisces,ENFP
4/13/2020 4:38,2/22/2000,22-Feb,Pisces,INFP
4/12/2020 22:40,2/21/2000,21-Feb,Pisces,ENFP
4/12/2020 19:49,2/20/2000,20-Feb,Pisces,INTJ
4/13/2020 6:10,2/19/2000,19-Feb,Pisces,ISTJ
4/12/2020 23:00,2/17/2000,17-Feb,Aquaris,ISTJ
4/13/2020 2:16,2/16/2000,16-Feb,Aquaris,INFP
4/13/2020 2:54,2/16/2000,16-Feb,Aquaris,INFP
4/13/2020 17:45,2/15/2000,15-Feb,Aquaris,ENTP
4/13/2020 8:34,2/14/2000,14-Feb,Aquaris,INTJ
4/13/2020 9:14,2/14/2000,14-Feb,Aquaris,INFP
4/13/2020 6:06,2/13/2000,13-Feb,Aquaris,INTP
4/13/2020 9:28,2/13/2000,13-Feb,Aquaris,ENFP
4/13/2020 10:45,2/10/2000,10-Feb,Aquaris,INTJ
4/13/2020 5:25,2/5/2000,5-Feb,Aquaris,INTJ
4/12/2020 18:44,2/4/2000,4-Feb,Aquaris,INTJ
4/12/2020 21:40,2/2/2000,2-Feb,Aquaris,ISFP
4/13/2020 8:44,2/1/2000,1-Feb,Aquaris,INFP
4/12/2020 22:44,1/31/2000,31-Jan,Aquaris,INTJ
4/13/2020 9:43,1/31/2000,31-Jan,Aquaris,INTP
4/13/2020 8:12,1/30/2000,30-Jan,Aquaris,INTP
4/13/2020 1:03,1/28/2000,28-Jan,Aquaris,INTP
4/13/2020 5:16,1/28/2000,28-Jan,Aquaris,INTJ
4/13/2020 4:01,1/26/2000,26-Jan,Aquaris,ESFP
4/13/2020 3:43,1/21/2000,21-Jan,Aquaris,ISTJ
4/12/2020 22:49,1/19/2000,19-Jan,Capricorn,INFP
4/13/2020 4:19,1/17/2000,17-Jan,Capricorn,ENFP
4/13/2020 1:42,1/16/2000,16-Jan,Capricorn,INFP
4/13/2020 13:18,1/14/2000,14-Jan,Capricorn,ENTP
4/13/2020 9:42,1/11/2000,11-Jan,Capricorn,INFP
4/13/2020 3:38,1/9/2000,9-Jan,Capricorn,INFJ
4/13/2020 8:58,1/9/2000,9-Jan,Capricorn,INTJ
4/13/2020 7:49,1/8/2000,8-Jan,Capricorn,INFP
4/12/2020 23:24,1/7/2000,7-Jan,Capricorn,INFP
4/12/2020 23:30,1/6/2000,6-Jan,Capricorn,INFJ
4/13/2020 0:41,1/6/2000,6-Jan,Capricorn,INTP
4/13/2020 0:41,1/6/2000,6-Jan,Capricorn,INTP
4/13/2020 6:09,1/6/2000,6-Jan,Capricorn,ENFP
4/13/2020 13:46,1/4/2000,4-Jan,Capricorn,ENTP
4/13/2020 6:04,1/3/2000,3-Jan,Capricorn,INTJ
4/13/2020 11:30,11/29/1999,29-Nov,Sagittarius,INTP
4/14/2020 3:53,4/19/1999,19-Apr,Aries,INTP
4/13/2020 16:24,3/3/1999,3-Mar,Pisces,INTP
4/14/2020 11:19,8/3/1998,3-Aug,Leo,ENTP
4/13/2020 11:59,6/8/1998,8-Jun,Gemini,INTJ
4/13/2020 17:12,6/1/1998,1-Jun,Gemini,INTJ
4/13/2020 13:46,3/9/1998,9-Mar,Pisces,ENFP
4/13/2020 15:16,5/15/1997,15-May,Taurus,INFP
4/14/2020 1:59,10/24/1996,24-Oct,Scorpio,INTJ
4/12/2020 17:39,9/13/1996,13-Sep,Virgo,INFJ
4/13/2020 11:20,9/7/1996,7-Sep,Virgo,INFJ
4/13/2020 12:13,6/19/1995,19-Jun,Gemini,INFJ
4/13/2020 11:59,5/29/1995,29-May,Gemini,INTJ
4/14/2020 17:56,2/3/1995,3-Feb,Aquaris,INFP
4/13/2020 14:03,12/4/1994,4-Dec,Sagittarius,INTJ
4/13/2020 10:59,2/23/1994,23-Feb,Pisces,INFP
4/13/2020 17:24,1/24/1994,24-Jan,Aquaris,INTJ
4/14/2020 2:14,1/5/1994,5-Jan,Capricorn,INTJ
4/13/2020 10:43,11/29/1993,29-Nov,Sagittarius,ENTJ
4/13/2020 11:16,8/12/1993,12-Aug,Leo,ENTJ
4/13/2020 12:52,4/1/1993,1-Apr,Aries,INFP
4/16/2020 3:45,2/21/1993,21-Feb,Pisces,INFP
4/16/2020 3:45,2/21/1993,21-Feb,Pisces,INFP
4/16/2020 1:18,9/21/1992,21-Sep,Virgo,ENFJ
4/13/2020 12:43,8/8/1992,8-Aug,Leo,ENFJ
4/15/2020 21:24,8/8/1992,8-Aug,Leo,ISTP
4/14/2020 16:11,2/24/1991,24-Feb,Pisces,ENFP
4/13/2020 11:21,2/18/1991,18-Feb,Aquaris,ENTP
4/13/2020 12:38,4/4/1988,4-Apr,Aries,INFJ
4/15/2020 7:38,7/1/1983,1-Jul,Cancer,INTP
4/13/2020 20:40,5/14/1982,14-May,Taurus,INFP
4/13/2020 14:37,4/7/1982,7-Apr,Aries,INTJ
4/13/2020 17:53,2/13/1980,13-Feb,Aquaris,ESFJ
